BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2016;100000199;100006279;M1030;1;2;2;0;1;;1
PERINAT_P;2016;100000199;100006279;M1140;1;2;1.22;0;1;;
PERINAT_P;2016;100000199;100006279;M2050;1;5;0.82;0;1;;
PERINAT_P;2016;100000199;100006279;MIVG;1;5;0.82;;;;
PERINAT_P;2016;100000199;100006279;N2340;2;1;1.5;;;;
PERINAT_P;2016;100000199;100006279;N2800;12;3;14.02;;;;
PERINAT_P;2016;100000199;100006279;N280H;10;3;5.8;;;;
PERINAT_P;2016;100002351;100000561;M1030;;;;;1;;
PERINAT_P;2016;100002351;100000561;M1140;;;;;1;;
PERINAT_P;2016;100002351;100000561;M2050;;;;;1;;
PERINAT_P;2016;100002351;100000561;N2800;8;1;8.86;;;;
PERINAT_P;2016;100002351;100000561;N280H;1;;1;;;;
PERINAT_P;2016;110000023;110780061;M1030;;11;1.66;1;0;1;
PERINAT_P;2016;110000023;110780061;M1140;;4;1.14;0;1;;
PERINAT_P;2016;110000023;110780061;M2050;5;7;7.84;1;0;;
PERINAT_P;2016;110000023;110780061;MIVG;;3;0.31;;;;
PERINAT_P;2016;110000023;110780061;N2340;11;;10.59;;;;
PERINAT_P;2016;110000023;110780061;N2700;;1;0.67;;;;
PERINAT_P;2016;110000023;110780061;N2800;27;16;37.62;;;;
PERINAT_P;2016;110000023;110780061;N280H;27;16;12.82;;;;
PERINAT_P;2016;110000023;110780061;N3120;;2;0.17;;;;
PERINAT_P;2016;110000056;110780137;M1030;9;1;1.8;1;0;0;0
PERINAT_P;2016;110000056;110780137;M1140;4;1;0.9;0;1;;
PERINAT_P;2016;110000056;110780137;M2050;3;;3.45;0;1;;
PERINAT_P;2016;110000056;110780137;N2340;2;;1.25;;;;
PERINAT_P;2016;110000056;110780137;N2800;13;6;17.41;;;;
PERINAT_P;2016;110000056;110780137;N280H;12;6;16.4;;;;
PERINAT_P;2016;110780228;110000114;M1030;6;;6;0;1;0;0
PERINAT_P;2016;110780228;110000114;M1140;1;;1;0;1;;
PERINAT_P;2016;110780228;110000114;M2050;3;;3;0;1;;
PERINAT_P;2016;110780228;110000114;MIVG;3;;3;;;;
PERINAT_P;2016;110780228;110000114;N2340;;3;1.9;;;;
PERINAT_P;2016;110780228;110000114;N2800;12;8;13.25;;;;
PERINAT_P;2016;110780228;110000114;N280H;6;4;6.62;;;;
PERINAT_P;2016;110780228;110000114;N3120;;1;0.1;;;;
PERINAT_P;2016;110780483;110000155;M1140;2;;2;;;;
PERINAT_P;2016;120000039;120780044;M1030;;6;2;1;0;0;
PERINAT_P;2016;120000039;120780044;M1140;;5;3;1;0;;
PERINAT_P;2016;120000039;120780044;M2050;2;2;4.36;0;1;;
PERINAT_P;2016;120000039;120780044;MIVG;2;;2;;;;
PERINAT_P;2016;120000039;120780044;N2340;3;11;11.78;;;;
PERINAT_P;2016;120000039;120780044;N2800;18;18;23;;;;
PERINAT_P;2016;120000039;120780044;N280H;18;8;23;;;;
PERINAT_P;2016;120000039;120780044;N3120;0;1;0.5;;;;
PERINAT_P;2016;120000054;120780069;M1030;0;0;0;;1;;0
PERINAT_P;2016;120000054;120780069;M1140;0;2;0.6;0;1;;
PERINAT_P;2016;120000054;120780069;M2050;0;3;0.29;0;1;;
PERINAT_P;2016;120000054;120780069;N2800;11;4;14.89;;;;
PERINAT_P;2016;120000054;120780069;N280H;11;4;14.89;;;;
PERINAT_P;2016;120000070;120780085;M1140;;2;0.28;0;0;;
PERINAT_P;2016;120000070;120780085;M2050;;5;1.78;0;1;;
PERINAT_P;2016;120000070;120780085;MIVG;;1;0.1;;;;
PERINAT_P;2016;120000070;120780085;N2800;7;1;7.8;;;;
PERINAT_P;2016;120000070;120780085;N280H;6;1;6.8;;;;
PERINAT_P;2016;120004569;120004528;M1030;;1;0.2;1;0;0;0
PERINAT_P;2016;120004569;120004528;M1140;;3;3.87;0;1;;
PERINAT_P;2016;120004569;120004528;M2050;;3;2.33;0;1;;
PERINAT_P;2016;120004569;120004528;MIVG;;1;0.2;;;;
PERINAT_P;2016;120004569;120004528;N2800;6;6;11.53;;;;
PERINAT_P;2016;120004569;120004528;N280H;5;5;10.17;;;;
PERINAT_P;2016;120004668;120004619;M1030;2;;0.29;0;1;;
PERINAT_P;2016;120004668;120004619;M1140;;3;1.28;0;1;;
PERINAT_P;2016;120004668;120004619;M2050;;3;0.93;0;1;;
PERINAT_P;2016;120004668;120004619;N2800;4;5;7.93;;;;
PERINAT_P;2016;120004668;120004619;N280H;3;5;6.93;;;;
PERINAT_P;2016;130000409;130041916;M1030;0;17;5.42;1;0;1;
PERINAT_P;2016;130000409;130041916;M1140;10;15;13.95;1;0;;
PERINAT_P;2016;130000409;130041916;M2050;2;25;10.73;1;0;;
PERINAT_P;2016;130000409;130041916;MIVG;0;8;0.76;;;;
PERINAT_P;2016;130000409;130041916;N2340;16;16;26.47;;;;
PERINAT_P;2016;130000409;130041916;N2700;2;4;3.4;;;;
PERINAT_P;2016;130000409;130041916;N2800;21;12;31.17;;;;
PERINAT_P;2016;130000409;130041916;N280H;21;12;31.17;;;;
PERINAT_P;2016;130000565;130781446;M1140;;7;0.94;;;;
PERINAT_P;2016;130000565;130781446;M2050;;7;5.02;0;1;;
PERINAT_P;2016;130000565;130781446;MIVG;;2;0.3;;;;
PERINAT_P;2016;130000565;130781446;N2700;;1;0.4;;;;
PERINAT_P;2016;130000565;130781446;N2800;11;8;15.9;;;;
PERINAT_P;2016;130000565;130781446;N280H;9;7;12.44;;;;
PERINAT_P;2016;130000565;130781446;N3120;;1;0.2;;;;
PERINAT_P;2016;130001225;130782634;M1030;;;;1;0;0;0
PERINAT_P;2016;130001225;130782634;M1140;3;2;1.37;1;0;;
PERINAT_P;2016;130001225;130782634;M2050;4;6;3.85;1;0;;
PERINAT_P;2016;130001225;130782634;MIVG;4;4;0.73;;;;
PERINAT_P;2016;130001225;130782634;N2700;1;1;0.65;;;;
PERINAT_P;2016;130001225;130782634;N2800;15;15;24.61;;;;
PERINAT_P;2016;130001225;130782634;N280H;14;14;22.11;;;;
PERINAT_P;2016;130002215;130785512;M1140;1;2;2.2;0;0;;
PERINAT_P;2016;130002215;130785512;M2050;1;3;2.8;0;0;;
PERINAT_P;2016;130002215;130785512;MIVG;;1;0.6;;;;
PERINAT_P;2016;130002215;130785512;N2700;0;1;0.5;;;;
PERINAT_P;2016;130002215;130785512;N2800;10;4;12.55;;;;
PERINAT_P;2016;130002215;130785512;N280H;9;4;11.5;;;;
PERINAT_P;2016;130002827;130789274;M1030;0;0;0;1;;1;
PERINAT_P;2016;130002827;130789274;M1140;0;0;0;;1;;
PERINAT_P;2016;130002827;130789274;M2050;4;4;4.85;1;;;
PERINAT_P;2016;130002827;130789274;MIVG;0;0;0.02;;;;
PERINAT_P;2016;130002827;130789274;N2340;1;3;3.13;;;;
PERINAT_P;2016;130002827;130789274;N2700;0;1;0.8;;;;
PERINAT_P;2016;130002827;130789274;N2800;13;9;17.73;;;;
PERINAT_P;2016;130002827;130789274;N280H;13;9;17.73;;;;
PERINAT_P;2016;130002835;130789316;M1030;0;11;1;1;0;1;0
PERINAT_P;2016;130002835;130789316;M1140;4;7;7.12;1;0;;
PERINAT_P;2016;130002835;130789316;M2050;;;;1;0;;
PERINAT_P;2016;130002835;130789316;MIVG;0;2;0.1;;;;
PERINAT_P;2016;130002835;130789316;N2340;7;4;9.9;;;;
PERINAT_P;2016;130002835;130789316;N2700;0;1;0.3;;;;
PERINAT_P;2016;130002835;130789316;N2800;18;19;31.56;;;;
PERINAT_P;2016;130002835;130789316;N280H;0;37;13.65;;;;
PERINAT_P;2016;130008253;130001084;M1030;7;;7;;;;
PERINAT_P;2016;130008253;130001084;M1140;;8;4;;;;
PERINAT_P;2016;130008253;130001084;M2050;6;;6;;;;
PERINAT_P;2016;130008253;130001084;N2700;;1;0.5;;;;
PERINAT_P;2016;130008253;130001084;N2800;8;15;15.58;;;;
PERINAT_P;2016;130008253;130001084;N280H;4;7;8.11;;;;
PERINAT_P;2016;130008253;130001084;N3120;;1;0.3;;;;
PERINAT_P;2016;130780521;130786049;M1030;;2;0.6;0;0;;
PERINAT_P;2016;130780521;130786049;M1140;3;7;5.52;0;;;
PERINAT_P;2016;130780521;130786049;M2050;;11;2.2;0;1;;
PERINAT_P;2016;130780521;130786049;MIVG;;5;0.8;;;;
PERINAT_P;2016;130780521;130786049;N2340;41;27;57.27;;;;
PERINAT_P;2016;130780521;130786049;N2700;1;1;1.21;;;;
PERINAT_P;2016;130780521;130786049;N2800;19;14;29.52;;;;
PERINAT_P;2016;130780521;130786049;N280H;19;14;29.52;;;;
PERINAT_P;2016;130781370;130000532;M1030;4;0;4;0;1;0;0
PERINAT_P;2016;130781370;130000532;MIVG;;2;0.5;;;;
PERINAT_P;2016;130781479;130000599;M1030;9;;9;0;1;;
PERINAT_P;2016;130781479;130000599;M1140;1;5;4;0;1;;
PERINAT_P;2016;130781479;130000599;M2050;3;1;3.5;0;1;;
PERINAT_P;2016;130781479;130000599;MIVG;3;1;3.5;;;;
PERINAT_P;2016;130781479;130000599;N2340;1;;1;;;;
PERINAT_P;2016;130781479;130000599;N2800;8;;7.6;;;;
PERINAT_P;2016;130781479;130000599;N280H;8;;7.6;;;;
PERINAT_P;2016;130783236;130786049;M1140;8;6;9.83;;0;;
PERINAT_P;2016;130783236;130786049;M2050;8;17;10.37;;1;;
PERINAT_P;2016;130783236;130786049;N2340;57;17;62.3;;;;
PERINAT_P;2016;130783236;130786049;N2700;4;0;3.9;;;;
PERINAT_P;2016;130783236;130786049;N2800;19;26;42.01;;;;
PERINAT_P;2016;130783236;130786049;N280H;19;26;42.01;;;;
PERINAT_P;2016;130783327;130001415;M1030;;17;3.4;1;0;1;
PERINAT_P;2016;130783327;130001415;M1140;2;6;8.3;1;0;;
PERINAT_P;2016;130783327;130001415;M2050;;19;3.8;1;0;;
PERINAT_P;2016;130783327;130001415;N2700;1;;1;;;;
PERINAT_P;2016;130783327;130001415;N2800;13;15;21.22;;;;
PERINAT_P;2016;130783327;130001415;N280H;7;9;11.51;;;;
PERINAT_P;2016;130783665;130043722;M1030;2;;0.25;0;0;;
PERINAT_P;2016;130783665;130043722;M2050;2;;0.25;0;0;;
PERINAT_P;2016;130783665;130043722;N2700;1;;0.1;;;;
PERINAT_P;2016;130783665;130043722;N3120;1;;0.1;;;;
PERINAT_P;2016;130784713;130038847;M1030;9;;9;1;;1;
PERINAT_P;2016;130784713;130038847;M1140;2;7;5.5;0;1;;
PERINAT_P;2016;130784713;130038847;M2050;17;7;20.5;1;;;
PERINAT_P;2016;130784713;130038847;MIVG;4;1;4.5;;;;
PERINAT_P;2016;130784713;130038847;N2340;8;;7.51;;;;
PERINAT_P;2016;130784713;130038847;N2700;;1;0.5;;;;
PERINAT_P;2016;130784713;130038847;N2800;17;9;24.98;;;;
PERINAT_P;2016;130784713;130038847;N280H;13;6;17.81;;;;
