BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCUNDC;ACCMU;ACCMUDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2017;290000181;290000074;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1059;1351;19;;;0;;0;;;;;0;
PERINAT;2017;290000256;290000017;TYPE1;;12;;;;2;324;42;0;0;0;0;0;0;1026;0;0;0;221;906;43;219;0;221;1;0;0;4;;221;1862;4671;39;5;0;1;46;69;35;0;0;0;0;0
PERINAT;2017;290000785;220020739;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1578;41;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;290000934;290000306;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;4139;422;86;0;0;0;0;;0;0;;0;0;0
PERINAT;2017;290019777;290022508;TYPE2;;44;6;;;9;2604;201;250;14;0;0;0;0;10392;1435;0;0;2105;9628;404;2376;1;2078;7;27;0;11;;2132;;;;21;1;1;245;254;181;10;;10;0;0
PERINAT;2017;2A0000022;2A0000014;TYPE2;;19;3;3;;3;1466;158;85;4;89;4;0;0;5238;400;574;0;954;4412;207;1302;0;941;7;13;0;2;;973;8214;399;2598;21;0;1;353;343;252;11;9;7;0;0
PERINAT;2017;2A0000154;2A0000204;TYPE1;;8;;;;2;379;57;0;0;0;0;0;0;1249;0;0;0;253;1104;62;357;0;253;1;0;0;5;;253;;;;4;0;1;22;12;2;1;;0;0;0
PERINAT;2017;2B0000012;2B0000020;TYPE2;;24;0;7;0;3;1346;89;0;0;150;7;0;0;5683;0;1146;0;1037;5176;199;1352;9;1011;7;26;0;1;;1071;;;;9;0;1;513;520;399;24;;11;0;0
PERINAT;2017;2B0000145;2B0000053;TYPE1;;16;;;;2;743;55;0;0;0;0;0;0;3147;0;0;0;598;2928;179;1006;3;591;1;7;0;3;;605;;;;2;0;1;182;198;154;7;;2;0;0
PERINAT;2017;300000023;300780046;TYPE2;;30;6;0;0;3;1792;165;216;13;0;0;0;0;6721;1339;0;0;1225;5503;254;1514;1;1210;4;15;0;7;;1244;7029;3591;56;16;0;1;473;431;296;20;0;1;0;0
