BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2016;240000489;240000117;TYPE2;;34;9;3;;6;2167;233;274;37;98;11;0;0;9215;1475;789;0;1630;8273;324;2289;13;1594;0;36;5;3;;1666;12624;2454;1431;23;1;1;537;547;307;41;0;31;1;0
PERINAT;2016;240000687;240000448;TYPE1;;15;;;;3;374;61;0;0;0;0;0;0;1180;0;0;0;241;1048;45;257;0;240;0;1;0;3;;244;2269;2401;;6;0;1;133;132;112;2;;0;0;0
PERINAT;2016;250000114;900000365;TYPE2;;28;4;;;4;2213;235;292;11;0;0;0;0;8081;1143;0;0;1611;7143;177;1157;0;1599;1;12;6;7;;1623;2723;2956;;24;0;1;425;464;267;46;;1;0;0
PERINAT;2016;250000700;250000452;TYPE2;;22;6;;;4;1414;98;199;9;0;0;0;0;5236;1563;0;0;1166;4905;176;999;1;1157;0;9;3;6;;1179;9548;6175;123;17;0;1;233;223;194;0;4;19;0;0
PERINAT;2016;250006954;250000015;TYPE3;;56;22;11;10;7;3827;587;922;36;178;4;253;21;15576;6663;3643;2674;2745;13644;388;3063;43;2660;6;85;36;0;0;2849;5409;10070;385;55;231;1;527;555;277;71;7;26;1;394
PERINAT;2016;250011848;250017803;TYPE2;;32;6;;;6;1973;205;402;18;0;0;0;0;7452;1756;0;0;1534;6901;314;1854;0;1518;0;16;6;13;;1558;;;;9;0;0;0;0;0;0;;12;1;193
PERINAT;2016;260000013;260000021;TYPE2;;44;12;6;;5;3223;170;557;17;151;19;0;0;13170;4608;1203;0;2418;11240;565;3806;1;2357;4;61;14;41;0;2493;5329;6133;182;84;302;1;488;561;334;56;4;6;0;0
PERINAT;2016;260000120;260016910;TYPE2;;25;6;;;3;1427;135;175;5;0;0;0;0;4829;1354;0;0;1091;4310;189;1010;4;1080;0;11;6;5;;1110;4585;6470;59;78;0;1;254;279;87;24;5;0;0;0
PERINAT;2016;260000138;260000047;TYPE2;;32;6;0;0;6;2398;420;191;29;0;0;0;0;8562;1154;0;0;1657;7622;262;1752;4;1640;0;17;13;10;;1693;10740;11718;79;46;1;1;344;340;141;27;2;23;0;0
PERINAT;2016;260000146;260000054;CPPR;;0;;;;;5;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;63;81;16;2;0;0;0;0
PERINAT;2016;260000286;260000104;TYPE1;;7;;;;1;167;14;0;0;0;0;0;0;593;0;0;0;117;489;16;99;0;117;0;0;0;3;;117;;835;;6;0;1;46;39;29;0;;0;0;0
